Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 4,INTZ,Liberty,0 - 1,2,12.12,Ahri,Kalista,Wukong,Seraphine,Lucian,Senna,Zeri,"Twitch, Corki","Volibear, Yuumi",Lulu,Sylas,Gwen,Kayle,Trundle,Sejuani,"Mordekaiser, Yone",Viego,Bot,Jungle,Support,Top,Mid,Bot,Mid,Support,Top,Jungle
Week 4,paiN Gaming,FURIA,1 - 0,1,12.12,Kalista,Senna,Zeri,Bel'Veth,Gwen,Lucian,Seraphine,"Wukong, Yuumi","Ahri, Viego",Xayah,Gnar,Corki,Gangplank,Lissandra,Sylas,"Kayle, Nautilus",Yone,Bot,Mid,Jungle,Top,Support,Jungle,Support,Bot,Mid,Top
Week 4,RED Canids,KaBuM! e-Sports,1 - 0,1,12.12,Senna,Gwen,Seraphine,Wukong,Kalista,Lucian,Yuumi,"Twitch, Lulu","Zeri, Corki",Ahri,Lee Sin,Sejuani,Ornn,Gangplank,Gnar,"Trundle, Fiora",Viego,Support,Bot,Mid,Jungle,Top,Bot,Support,Mid,Top,Jungle
Week 4,Rensga Esports,LOUD,0 - 1,2,12.12,Ahri,Corki,Bel'Veth,Wukong,Senna,Seraphine,Lee Sin,"Viego, Ashe","Thresh, Aphelios",Nautilus,Zoe,Kayle,Azir,Olaf,Taliyah,"Ornn, Sylas",Gnar,Jungle,Support,Bot,Top,Mid,Jungle,Bot,Support,Mid,Top
Week 4,Miners,Flamengo Los Grandes,1 - 0,1,12.12,Taliyah,Kayle,Kalista,Wukong,Ezreal,Corki,Seraphine,"Yuumi, Lee Sin","Xin Zhao, Gnar",Zeri,Senna,Sylas,Nautilus,Sejuani,Gangplank,"Pyke, Azir",Ahri,Bot,Jungle,Top,Support,Mid,Support,Jungle,Bot,Top,Mid
Week 3,KaBuM! e-Sports,INTZ,1 - 0,1,12.11,Gwen,Lucian,Nautilus,Senna,Viego,Zeri,Wukong,"Rakan, Lee Sin","Yuumi, Ezreal",Kalista,Kennen,Taliyah,Jayce,Ahri,Kayle,"Gangplank, Azir",Akali,Jungle,Support,Bot,Top,Mid,Support,Jungle,Bot,Top,Mid
Week 3,Flamengo Los Grandes,Rensga Esports,1 - 0,1,12.11,Yone,Lee Sin,Renata Glasc,Taliyah,Yasuo,Lucian,Senna,"Viego, Tahm Kench","Wukong, Seraphine",Jinx,Sejuani,Gwen,Kayle,Gnar,Vex,"Ahri, Gragas",Ornn,Bot,Jungle,Support,Mid,Top,Jungle,Support,Bot,Mid,Top
Week 3,FURIA,Miners,1 - 0,1,12.11,Galio,Gwen,LeBlanc,Zeri,Viego,Corki,Lucian,"Wukong, Ezreal","Nami, Lee Sin",Karma,Olaf,Lissandra,Ahri,Vex,Sejuani,"Yone, Sylas",Orianna,Bot,Support,Jungle,Top,Mid,Jungle,Bot,Support,Top,Mid
Week 3,LOUD,RED Canids,0 - 1,2,12.11,Lucian,Ahri,Zeri,Senna,Taliyah,Wukong,Ezreal,"Gwen, Viego","Kayle, Lee Sin",Ashe,Yuumi,Sylas,Karma,Twisted Fate,Corki,"Zoe, Rakan",Nautilus,Bot,Top,Jungle,Mid,Support,Top,Jungle,Bot,Mid,Support
Week 3,Liberty,paiN Gaming,1 - 0,1,12.11,Kalista,Yuumi,Azir,Senna,Corki,Lucian,Zeri,"Ahri, Wukong","Lissandra, Viego",Jinx,Kayle,Gwen,Ornn,Gnar,Gangplank,"Aatrox, Nautilus",Braum,Bot,Mid,Jungle,Top,Support,Mid,Jungle,Bot,Top,Support
